name;data;tipo;categoria;nome_publicação;subtítulo_publicação;edicao;data_publicacao;descricao;imagem;url
México;01/03/2021;Petróleo e Derivados;Boletim de Óleo e Gás;Experiências internacionais na regulação da indústria de óleo & gás;Nota Técnica;mar/21;Publicação: Março/2021;;;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-582/NT-EPE-DPG-SDB-2021-02_Regula%C3%A7%C3%A3o%20de%20%C3%93leo%20e%20G%C3%A1s.pdf#search=livro%20marco%20regulat%C3%B3rio%20petr%C3%B3leo
Venezuela;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Colômbia;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Brasil;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Noruega;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Argélia;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Líbia;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Angola;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Cazaquistão;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Azerbaijão;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Irã;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
Indonésia;01/01/2011;Petróleo e Derivados;Estudo Especial;Marcos Regulatórios da Indústria Mundial do Petróleo;Estudo Especial;jan/11;Publicação: Janeiro/2011;;;https://synergiaeditora.com.br/produto/marcos-regulatorios-da-industria-mundial-do-petroleo/
